,Intro,Growth,Mature,Shakeout,Decline
market-cap-mean,0.32029602613704544,1.9642989572044103,4.648056871890873,2.0240880135583055,0.273340316642662
market-cap-std,0.8252130494973305,5.567086546467409,14.80333891995728,7.101674192566365,0.6987998458897174
at-mean,0.23895292462434775,1.8182674938083168,3.449264581472925,1.892926981677248,0.2557394645645545
at-std,0.669657369665575,4.984138155067632,9.741084665791579,6.005621658363928,0.7935076842181621
book-to-market-mean,0.6577749578464043,0.6518507648113215,0.7021467196860338,0.8836209369811165,0.7661276053444573
book-to-market-std,0.8545042283136532,0.6552119306675079,0.677894747691404,0.9475949790614081,0.9152934047291483
debt-to-equity-mean,1.2049762674963405,1.6243452486555325,1.447879351126459,1.630693313165465,0.9225360274904641
debt-to-equity-std,4.427628960104671,2.953108053606578,3.393471812696295,4.564222460975972,4.658486921336512
profit-mean,-0.4972668851915067,0.29570521993244664,0.38559206244550764,0.15438758725523768,-0.6674144383581891
profit-std,1.4584856546387048,0.32445571145977614,0.469092530393298,0.5526167403106566,1.45741486656777
investment-mean,0.015345112009101963,0.32238908360057217,0.10739160312336643,-0.09475337405558652,-0.03164263540026137
investment-std,0.2734348124011046,1.0394988742964515,0.6991890279678497,0.7470973689442241,0.19217072762808066
past-return-mean,0.015619391935715436,0.15439112908332542,0.1545549007502105,0.10704160080213684,0.012420234893565016
past-return-std,0.8225217437886809,0.6122550949180052,0.5071774817450808,0.6376583859727322,0.8177545839132153
