,All,Intro,Growth,Mature,Shakeout,Decline,F-Test
beta,0.1085693177943581,0.12533203624708872,0.07593052094777714,0.1597987412452344,0.1643018246388853,0.2823042656672343,0.4162100419976009
beta-t,1.1179629887166613,0.9022045359594959,0.7651634327374353,1.940231954857404,1.3795196703935186,2.0130385500141426,
beta-s,,,,*,,**,
size,-0.2080491884912976,-0.44749353460161767,-0.1374321773386654,-0.24096179073069823,-0.28437766947967574,-0.38268867801775475,1.0319013584898467
size-t,-2.33993287809186,-3.020847676740779,-1.6371468637265219,-3.176818441133788,-2.8371695849812246,-2.3568993447985442,
size-s,**,***,,***,***,**,
book-to-market,0.4159989542990688,0.3502429938845736,0.20536589393244822,0.35581144806253556,0.5736358153595901,0.8981480458262615,4.122623720867146
book-to-market-t,5.488355231892522,2.2243356366653217,2.0636388866924,4.237600372547992,4.488065425758265,5.1663219571655326,
book-to-market-s,***,**,**,***,***,***,***
profit,0.30098124300282514,0.2478170367919132,0.1347263987256218,0.1802775130593778,0.20268897875488162,0.08637352500921823,0.2927372598663006
profit-t,3.9173765892088914,1.9237963658644701,2.118560408199089,3.5144989364410186,1.618232467786116,0.5248220160672987,
profit-s,***,*,**,***,,,
investment,-0.274596112636931,-0.25873362350704865,-0.22124973803105139,0.08514265508855828,-0.15103218475664,-0.2540233373426731,2.7772817470264597
investment-t,-6.8739980227441455,-3.0252323107702463,-4.357432099073561,1.8007499362787087,-1.6546632535541568,-1.9669311679823152,
investment-s,***,***,***,*,*,**,**
past-return,0.24638767265990283,0.40975022275780715,0.270168345917122,0.14746192560134475,0.21851451432185698,0.20647121196339055,0.8766774338814719
past-return-t,3.71187067051754,3.6725216356891517,3.5962770141470473,2.389784719085734,1.9381339274801113,1.409383956302074,
past-return-s,***,***,***,**,*,,
const,0.9925620969445879,0.2739859980984243,0.8691525807709566,1.2603918943671033,1.3540276515406133,0.8933625858276265,
const-t,3.397573892001323,0.6751180250285637,2.9270447378248567,4.910677061311716,4.483481976006418,2.0495134395069465,
const-s,***,,***,***,***,**,
R Squared,0.0392651371072441,0.054278817220104,0.05456777762912464,0.046722823694712395,0.06838860962510064,0.07203836902815482,
Observations,991909.0,123275.0,265508.0,430487.0,94181.0,65125.0,
